Image,Time (Transformer),Time (Allowlist + Transformer + Grayscale),Output (Transformer),Output (Allowlist + Transformer + GrayScale),Time (Preprocessing for grayscale)
setup_ocr (ru_en),2.5227,2.0942,,,
setup_ocr (ru),2.4185,2.0983,,,
setup_ocr (en),2.1274,2.2190,,,
rus7.png,1.5829,0.8120,"ничего себе! у неё 4 кампуса! ШКолА В 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК",ничегосебеl унеё4кампусаl школд 3 2 ё япосмотрелэту картинкуи возбудилсясейчас вотбыпотрогатьеё будуподавать апотомпотрогать документы своибаллыегэ ябыхотел чтобытакойвуз унеёскидикибюджетик далмнескидку вывидели2 государственныйвузl скидики бюджетик онахочетотменярезультатоволимпиад сладкийскидик,0.0295
rus6.png,0.3342,0.2883,ЗТП Я ППКЧПАН ЯЛКП НП НПВЫЙ ГПД ПЯТЫЙ ППЗ 3Я НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,тпяппк9пршqлкпнднпвы7 гпдпяты7ад33qнадапш п4шм мышята шl,0.0065
rus4.png,0.6768,0.5647,"ПНА: 6 ""ЫЧШ ШИЕЧДЫ ЗШШП ШЯЖМАШЯЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.",пнд 0 5ычшы9дь g9ашмажа ят 025 коньбьётдеревопердитнасобакуи убегает,0.0128
eng_rus3.png,0.6778,0.6913,"lniittmemeshat Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел",atlmemesbol онвамнe5еляш o4ntongelyayev1 нукакбывотда тысебеужепоставилцелина 2024год2 конечно 1сновастатьхудыми атлетичнымкакимбылдо несчастногослучая 2перестатьназывать несчастнымслучаемточтоя разжирел,0.0076
rus1.png,6.4430,9.2795,Когда предмет ведут ещё с февраля; НО Ты ТОЛЬКО сейчас решил сходить на эту лекцию (о5ч [ека,когдапредметведутещёс февраля но ты толькосейчас решил сходить наэтулекцию l б5ы78 7 8еx 2,0.1510
eng_rus2.png,0.4788,0.3422,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,fwck школ44нализ4данных 6 4lmноmёsuss 4lмasters,0.0081
rus2.png,0.4174,0.3246,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,в детствет долженвсё понимать сейчаст хахаялюблюмемы,0.0115
rus3.png,0.1384,0.1081,ДВл,дра,0.0095
rus8.png,0.7065,0.6103,"Блин, он не отвечает.. Наверное опять со своими шлюхами ПЕБ;#ЕЦ: 1ш та:? #Ц 1 + КАК ЕСКАЗАТЬ ЧТО В ОТПУСК МЫ В ЭТОМ [ОДУ НЕ ЕДЕМ? 'г-п =и",5линонне отвечаетнаверное опятьcoсвоими шлюхами пmщкаl 15шw танg 1z4w1g ккаскз4ть9то8отпуск мывэтомподунаедем2 ircinaи,0.0221
rus_eng4.png,0.7829,0.6474,Дипмиссия Уругвая @think_not_think Очень простой лайфхак для любителей гречки Простозаверните кавуютречинку в фолыу Итогдк кастрюле она не прилипнет,дипмиссияуругвая othinknotthink оченьпростойлайфхакдлялюбителей гречки простозаверните канютречинкув фолыу итогдаккастрюле онанеприлишнет,0.0124
rus9.png,0.1845,0.1493,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,онпростосидиттутужетретьюнеделюиговорит чтосаморазвиваетсячерез айтиподкасты,0.0022
eng2.png,0.2476,0.2275,"ooo! AN Artist WOW Iwonder WHAT HE'S DRAWiNG iS HE DRAwiNG ME?? [IMAGINE RED 'MID 30*$ Hair WOMAN [ GREAT SMILE PURPLE LBROWM JEANS , SWEATER  ~cross HatchING {PENCIL SKETCH - ~TECHNIQUE E",ooolanartisti wow 1wonder whathes drawing ishe drawing mepp hal8womaxmid305 naginered greatsmilepurple 1browmjeans sweatr crossratching pencisketch5 technique,0.0096
eng_rus.png,3.3022,5.7156,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 9 znaGaibg 21412 @LEPRAGRAM + Zx pokuril,я передлюбымважнымделом 4x pokokk 35cl 12oz 2 9 2nnsaig 21412 oeepkeckh 7xpokuril,0.0539
eng1.png,2.5686,0.3234,When you are gonna merge two branches after long time . @catda mentos,whenyouaregonna mergetwobranches after long time lccatcta mentos,0.0209
Mean,1.3244,1.4345857142857141,,,0.02554285714285714
Median,0.6773,0.45345,,,0.011949999999999999
