Image,Time (Standard),Time (Blocklist),Output (Standard),Output (Blocklist)
setup_ocr (ru_en),2.1802,2.3238,,
setup_ocr (ru),2.1383,2.0919,,
setup_ocr (en),2.0962,2.1655,,
rus7.png,1.2704,0.8382,"ничего себе! у неё 4 кампуса! ШКолА В 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК","ничего себе! у неё 4 кампуса! школ4 ₽ 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скидик и бюджетик дал мне скидку вы видели? государственный вуз! скидик и бюджетик она хочет от меня результатов олимпиад сладкий скидик"
rus6.png,0.3492,0.3148,ЗТП Я ППКЧПАН ЯЛКП НП НПВЫЙ ГПД ПЯТЫЙ ППЗ 3Я НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,ЈтЏ Ғ пІІЈІІЊ ҒІІІ |д |ІвыІӢ гІд пӮтЏІӢ ₽Ғ3 3Ғ ҚЄҲІІЊ пӮ [Є мЏ [ята #l
rus4.png,0.6518,0.6041,"ПНА: 6 ""ЫЧШ ШИЕЧДЫ ЗШШП ШЯЖМАШЯЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.","пнҒ: 6 ""ЏӮш ЁЄдь {#п шмІІЏж; я: 0.25 Ќонь бьёт дерево, пердит на собаку и убегает."
eng_rus3.png,0.6822,0.6698,"lniittmemeshat Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел","lniittmemeshat Јн вам e 5еляш @^ntongelyayev1 ну как бы вот да ты себе уже поставил цели на 2024 год? Ќонечно 1 Єнова стать худым и атлетичным; каким был до несчастного случая 2. перестать называть несчастным случаем то, что я разжирел"
rus1.png,9.7744,8.9919,Когда предмет ведут ещё с февраля; НО Ты ТОЛЬКО сейчас решил сходить на эту лекцию (о5ч [ека,Ќогда предмет ведут ещё с февраля; но ты только сейчас решил сходить на эту лекцию (o5ч [ека
eng_rus2.png,0.5411,0.3732,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,[wк шкӀл^ /ӀІлиз4 дІӀӀых 6 4ЏЏ[Ү .ӮmІЁs &s: ^l^asters
rus2.png,0.3613,0.3354,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,в детстве: должен всё понимать сейчас: хаха; я люблю мемы
rus3.png,0.1389,0.1232,ДВл,дрл
rus8.png,1.1146,0.6374,"Блин, он не отвечает.. Наверное опять со своими шлюхами ПЕБ;#ЕЦ: 1ш та:? #Ц 1 + КАК ЕСКАЗАТЬ ЧТО В ОТПУСК МЫ В ЭТОМ [ОДУ НЕ ЕДЕМ? 'г-п =и","5лин, он не отвечает.. Қаверное опять co своими шлюхами пm;#аl: 1шw таg? #u 1 + кІҚ [скІзІть Ӯто 8 ӨтпӮЄк [ы [ эІӨм [Өду Қ= Єд=м? 'ircln =и"
rus_eng4.png,0.7141,0.6711,Дипмиссия Уругвая @think_not_think Очень простой лайфхак для любителей гречки Простозаверните кавуютречинку в фолыу Итогдк кастрюле она не прилипнет,дипмиссия Ӯругвая @think_not_think очень простой лайфхак для любителей гречки простозаверните кавуютречинку в фолыу итогдк кастрюле она не прилипнет
rus9.png,0.1869,0.1575,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты
eng2.png,0.2861,0.2665,"ooo! AN Artist WOW Iwonder WHAT HE'S DRAWiNG iS HE DRAwiNG ME?? [IMAGINE RED 'MID 30*$ Hair WOMAN [ GREAT SMILE PURPLE LBROWM JEANS , SWEATER  ~cross HatchING {PENCIL SKETCH - ~TECHNIQUE E","ooo! ^n artist wow 1wonder what he's drawing is he drawing me?? [magie red 'mid 30*$ hair woman [ greai smile purp : [brow% jeans , sweatr  ~cross hatching {penci sketch - ~technique €"
eng_rus.png,5.6597,9.9385,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 9 znaGaibg 21412 @LEPRAGRAM + Zx pokuril,я перед любым важным делом 4x ₽o<^<^Џ 35 cl 12oz 9 zna6aibg 21412 @ee@kh@^м + 7x pokuril
eng1.png,0.5185,0.3635,When you are gonna merge two branches after long time . @catda mentos,when you are gonna merge two branches after long time . @catda mentos
Mean,1.5892285714285712,1.73465,,
Median,0.59645,0.48865,,
