Image,Time (Transformer + DB),Time (Transformer),Output (Transformer + DB),Output (Transformer)
setup_ocr (ru_en),3.3028,2.1626,,
setup_ocr (ru),2.7328,2.1715,,
setup_ocr (en),2.4039,2.2143,,
rus7.png,1.5631,0.8681,"ничего себе! у неё 4 кампуса! ШКолА В 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК","ничего себе! у неё 4 кампуса! ШКолА В 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК"
rus6.png,0.3519,0.3145,ЗТП Я ППКЧПАН ЯЛКП НП НПВЫЙ ГПД ПЯТЫЙ ППЗ 3Я НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,ЗТП Я ППКЧПАН ЯЛКП НП НПВЫЙ ГПД ПЯТЫЙ ППЗ 3Я НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ
rus4.png,0.7238,0.6296,"ПНА: 6 ""ЫЧШ ШИЕЧДЫ ЗШШП ШЯЖМАШЯЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.","ПНА: 6 ""ЫЧШ ШИЕЧДЫ ЗШШП ШЯЖМАШЯЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает."
rus5.png,0.9306,0.7318,"Дипмиссия Уругвая @+<,&_,~+_+<',< Очень простой лайфхак для любителей гречки Простозаверните кавуютречинку в фолыу Итогдк кастрюле она не прилипнет","Дипмиссия Уругвая @+<,&_,~+_+<',< Очень простой лайфхак для любителей гречки Простозаверните кавуютречинку в фолыу Итогдк кастрюле она не прилипнет"
eng_rus3.png,0.9089,0.6919,"lniittmemeshat Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел","lniittmemeshat Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел"
rus1.png,7.6524,10.2913,Когда предмет ведут ещё с февраля; НО Ты ТОЛЬКО сейчас решил сходить на эту лекцию (о5ч [ека,Когда предмет ведут ещё с февраля; НО Ты ТОЛЬКО сейчас решил сходить на эту лекцию (о5ч [ека
eng_rus2.png,3.2426,0.5124,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters
rus2.png,0.5241,0.3743,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы
rus3.png,0.1625,0.1214,ДВл,ДВл
rus8.png,0.9046,0.6935,"Блин, он не отвечает.. Наверное опять со своими шлюхами ПЕБ;#ЕЦ: 1ш та:? #Ц 1 + КАК ЕСКАЗАТЬ ЧТО В ОТПУСК МЫ В ЭТОМ [ОДУ НЕ ЕДЕМ? 'г-п =и","Блин, он не отвечает.. Наверное опять со своими шлюхами ПЕБ;#ЕЦ: 1ш та:? #Ц 1 + КАК ЕСКАЗАТЬ ЧТО В ОТПУСК МЫ В ЭТОМ [ОДУ НЕ ЕДЕМ? 'г-п =и"
rus9.png,0.2244,0.1531,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты
eng2.png,0.5493,0.2477,"ooo! AN Artist WOW Iwonder WHAT HE'S DRAWiNG iS HE DRAwiNG ME?? [IMAGINE RED 'MID 30*$ Hair WOMAN [ GREAT SMILE PURPLE LBROWM JEANS , SWEATER  ~cross HatchING {PENCIL SKETCH - ~TECHNIQUE E","ooo! AN Artist WOW Iwonder WHAT HE'S DRAWiNG iS HE DRAwiNG ME?? [IMAGINE RED 'MID 30*$ Hair WOMAN [ GREAT SMILE PURPLE LBROWM JEANS , SWEATER  ~cross HatchING {PENCIL SKETCH - ~TECHNIQUE E"
eng_rus.png,10.0979,9.4811,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 9 znaGaibg 21412 @LEPRAGRAM + Zx pokuril,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 9 znaGaibg 21412 @LEPRAGRAM + Zx pokuril
eng1.png,1.9337,0.3559,When you are gonna merge two branches after long time . @catda mentos,When you are gonna merge two branches after long time . @catda mentos
Mean,2.247605882352941,1.8832352941176471,,
Median,0.9306,0.6919,,
